epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.28729915618896484,0.4285958707332611,0.18749648332595825
0,207,0.24268624186515808,0.3373868465423584,0.1483878791332245,,,
1,415,,,,0.3390229642391205,0.5083684325218201,0.23001107573509216
1,415,0.28073087334632874,0.42673197388648987,0.18087869882583618,,,
2,623,,,,0.367313951253891,0.5340320467948914,0.2561616599559784
2,623,0.3194640278816223,0.4775713086128235,0.21339885890483856,,,
3,831,,,,0.3848559260368347,0.5697147846221924,0.26998603343963623
3,831,0.35733675956726074,0.5158953070640564,0.24492457509040833,,,
4,1039,,,,0.4570792317390442,0.6351986527442932,0.33923667669296265
4,1039,0.3977641463279724,0.576185941696167,0.28465548157691956,,,
5,1247,,,,0.4176897704601288,0.6254710555076599,0.3179742395877838
5,1247,0.4370819330215454,0.611126720905304,0.3189438283443451,,,
6,1455,,,,0.49329349398612976,0.6815711855888367,0.38397353887557983
6,1455,0.4592253565788269,0.6312146782875061,0.3409903049468994,,,
7,1663,,,,0.499790221452713,0.6873708963394165,0.3921329379081726
7,1663,0.47434625029563904,0.6573060154914856,0.3596011698246002,,,
8,1871,,,,0.4760609567165375,0.674777090549469,0.3715251684188843
8,1871,0.48106545209884644,0.6700001358985901,0.3681078553199768,,,
9,2079,,,,0.4861772954463959,0.6841272711753845,0.38314229249954224
9,2079,0.4831739068031311,0.6673779487609863,0.3690735101699829,,,
10,2287,,,,0.5500574707984924,0.7162306308746338,0.4370823800563812
10,2287,0.4853386878967285,0.6612592339515686,0.37008216977119446,,,
11,2495,,,,0.5512701869010925,0.7352819442749023,0.44358184933662415
11,2495,0.5069094300270081,0.6906921863555908,0.39497312903404236,,,
12,2703,,,,0.5571600198745728,0.7449907660484314,0.45307764410972595
12,2703,0.5139279961585999,0.6934190988540649,0.40183791518211365,,,
13,2911,,,,0.5995601415634155,0.7795953750610352,0.4896561801433563
13,2911,0.5353317260742188,0.7144952416419983,0.424534410238266,,,
14,3119,,,,0.5026779770851135,0.7109245657920837,0.40515047311782837
14,3119,0.5523293018341064,0.732262134552002,0.4411350190639496,,,
15,3327,,,,0.5644711852073669,0.7502894997596741,0.453626811504364
15,3327,0.5576642751693726,0.7368098497390747,0.4473664462566376,,,
16,3535,,,,0.6282939314842224,0.8105414509773254,0.5255433320999146
16,3535,0.5658377408981323,0.7408041954040527,0.4553394317626953,,,
17,3743,,,,0.6223823428153992,0.8054325580596924,0.5186938643455505
17,3743,0.5732353329658508,0.7505954504013062,0.46381765604019165,,,
18,3951,,,,0.6096913814544678,0.7932015657424927,0.5039615631103516
18,3951,0.5807279944419861,0.7565508484840393,0.4721395671367645,,,
19,4159,,,,0.623245358467102,0.806913435459137,0.5202508568763733
19,4159,0.5766439437866211,0.7579424381256104,0.46890589594841003,,,
20,4367,,,,0.6522674560546875,0.7181910276412964,0.41811883449554443
20,4367,0.5766777992248535,0.7457643747329712,0.4659653604030609,,,
21,4575,,,,0.6563071012496948,0.8375779390335083,0.5612569451332092
21,4575,0.5851743221282959,0.7581204175949097,0.4751565158367157,,,
22,4783,,,,0.6482331156730652,0.8303130865097046,0.5510774850845337
22,4783,0.5860458612442017,0.7562677264213562,0.4759657382965088,,,
23,4991,,,,0.6601052284240723,0.8412383794784546,0.5656449794769287
23,4991,0.6019758582115173,0.7731964588165283,0.4939318895339966,,,
24,5199,,,,0.5924079418182373,0.7697101831436157,0.4832603633403778
24,5199,0.6044614911079407,0.7740805149078369,0.4970761835575104,,,
25,5407,,,,0.656811535358429,0.8394537568092346,0.5624880194664001
25,5407,0.6182756423950195,0.7919659614562988,0.5138554573059082,,,
26,5615,,,,0.6734545230865479,0.8554363250732422,0.5844066143035889
26,5615,0.6222033500671387,0.7934215068817139,0.518239438533783,,,
27,5823,,,,0.6797063946723938,0.862960696220398,0.5936212539672852
27,5823,0.6272109746932983,0.7985737323760986,0.5239691138267517,,,
28,6031,,,,0.6758739352226257,0.8580920100212097,0.5877655148506165
28,6031,0.6293511390686035,0.800744354724884,0.5268744826316833,,,
29,6239,,,,0.6742762327194214,0.8560744524002075,0.5855280160903931
29,6239,0.6256359815597534,0.7976908087730408,0.521992027759552,,,
