epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.7352886199951172,0.7519599199295044,0.5856596231460571
0,207,0.7273852229118347,0.7423864006996155,0.5757433772087097,,,
1,415,,,,0.7612563967704773,0.7743206024169922,0.6180229187011719
1,415,0.7366781234741211,0.7464162707328796,0.5868090391159058,,,
2,623,,,,0.7472116947174072,0.7638680934906006,0.6008930802345276
2,623,0.7413015365600586,0.7494502067565918,0.5925538539886475,,,
3,831,,,,0.7498390078544617,0.7605813145637512,0.6029619574546814
3,831,0.7469382882118225,0.7544453740119934,0.5991978645324707,,,
4,1039,,,,0.7637768387794495,0.7754000425338745,0.6209770441055298
4,1039,0.7560758590698242,0.7649847865104675,0.6113216280937195,,,
5,1247,,,,0.7733937501907349,0.7848838567733765,0.6339598894119263
5,1247,0.7608531713485718,0.7701001763343811,0.6177104711532593,,,
6,1455,,,,0.7761921286582947,0.7900859713554382,0.6378836035728455
6,1455,0.7447143197059631,0.7550427317619324,0.5968127250671387,,,
7,1663,,,,0.7805882692337036,0.7941388487815857,0.6435351371765137
7,1663,0.7519530653953552,0.7582824230194092,0.6060428023338318,,,
8,1871,,,,0.7775184512138367,0.7864061594009399,0.6392720937728882
8,1871,0.7511014938354492,0.7614784240722656,0.6044068336486816,,,
9,2079,,,,0.775721549987793,0.79136061668396,0.6386670470237732
9,2079,0.7599198818206787,0.7674301862716675,0.6162713170051575,,,
