epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.3181319236755371,0.4515846073627472,0.21052540838718414
0,207,0.24167782068252563,0.3363174498081207,0.1481567621231079,,,
1,415,,,,0.4297409951686859,0.5705841779708862,0.3110414147377014
1,415,0.33538931608200073,0.4806324541568756,0.22274243831634521,,,
2,623,,,,0.41494783759117126,0.5919596552848816,0.3117493689060211
2,623,0.40077540278434753,0.557357668876648,0.28150463104248047,,,
3,831,,,,0.47743597626686096,0.6557767391204834,0.36023637652397156
3,831,0.4329283833503723,0.5955899953842163,0.31386396288871765,,,
4,1039,,,,0.487922728061676,0.6616199016571045,0.3736523985862732
4,1039,0.456443727016449,0.6386165618896484,0.34189844131469727,,,
5,1247,,,,0.4473588764667511,0.6491440534591675,0.34465292096138
5,1247,0.4745806157588959,0.6512457728385925,0.3571532666683197,,,
6,1455,,,,0.5144090056419373,0.69086754322052,0.3988865911960602
6,1455,0.48756811022758484,0.6586864590644836,0.3695325553417206,,,
7,1663,,,,0.5001153945922852,0.6711914539337158,0.3892480731010437
7,1663,0.4978805184364319,0.6765241622924805,0.3823462426662445,,,
8,1871,,,,0.5158612728118896,0.7003282904624939,0.40200942754745483
8,1871,0.504455029964447,0.6858145594596863,0.38947224617004395,,,
9,2079,,,,0.5101287961006165,0.6920937299728394,0.39596956968307495
9,2079,0.503736674785614,0.6821088194847107,0.38828155398368835,,,
10,2287,,,,0.4924982786178589,0.6366969347000122,0.37752819061279297
10,2287,0.5001563429832458,0.6708337664604187,0.38343778252601624,,,
11,2495,,,,0.5510374903678894,0.7281603217124939,0.4390564560890198
11,2495,0.5230144262313843,0.6970438957214355,0.40856531262397766,,,
12,2703,,,,0.5788343548774719,0.7551465034484863,0.4677887260913849
12,2703,0.5349720120429993,0.7018656730651855,0.41888999938964844,,,
13,2911,,,,0.6244936585426331,0.8008199334144592,0.5170398950576782
13,2911,0.5580198764801025,0.7245112657546997,0.44380983710289,,,
14,3119,,,,0.5975778102874756,0.7774705290794373,0.4867086410522461
14,3119,0.572937548160553,0.7404417395591736,0.4592819809913635,,,
15,3327,,,,0.6021196842193604,0.7794606685638428,0.48939454555511475
15,3327,0.5786828398704529,0.7453511357307434,0.4659327566623688,,,
16,3535,,,,0.6452739238739014,0.8233163356781006,0.5449501872062683
16,3535,0.5848963856697083,0.7488830089569092,0.4725380539894104,,,
17,3743,,,,0.6422167420387268,0.8203794360160828,0.5406476259231567
17,3743,0.589195728302002,0.755516767501831,0.47774940729141235,,,
18,3951,,,,0.6435753703117371,0.8207959532737732,0.5425605773925781
18,3951,0.595947265625,0.7614961266517639,0.48571839928627014,,,
19,4159,,,,0.6433787941932678,0.8212604522705078,0.5425650477409363
19,4159,0.5934380888938904,0.7624319195747375,0.48334571719169617,,,
20,4367,,,,0.6028185486793518,0.774786651134491,0.49072134494781494
20,4367,0.5916611552238464,0.7534021735191345,0.4802387058734894,,,
21,4575,,,,0.6563668251037598,0.8337258100509644,0.560256838798523
21,4575,0.5973458290100098,0.7639290690422058,0.48686522245407104,,,
22,4783,,,,0.6599375605583191,0.8386214971542358,0.5653674006462097
22,4783,0.5929864048957825,0.7567610740661621,0.4817526936531067,,,
23,4991,,,,0.6635607481002808,0.8417545557022095,0.5692866444587708
23,4991,0.6018632650375366,0.7677004933357239,0.49219682812690735,,,
24,5199,,,,0.6162497401237488,0.7922258973121643,0.5075936317443848
24,5199,0.6055825352668762,0.7704475522041321,0.497356116771698,,,
25,5407,,,,0.6652430891990662,0.8433763980865479,0.5725935101509094
25,5407,0.6165910363197327,0.7858233451843262,0.5107232928276062,,,
26,5615,,,,0.6710177063941956,0.8493853211402893,0.5800363421440125
26,5615,0.6183634996414185,0.7852832078933716,0.5121979713439941,,,
27,5823,,,,0.6740022897720337,0.8531869649887085,0.5842500329017639
27,5823,0.6236550211906433,0.7915759682655334,0.5187445878982544,,,
28,6031,,,,0.6706027388572693,0.8493502736091614,0.5793889760971069
28,6031,0.6240130662918091,0.7915158867835999,0.519342303276062,,,
29,6239,,,,0.6696191430091858,0.8482171297073364,0.5781714916229248
29,6239,0.6183605790138245,0.7869831323623657,0.5121891498565674,,,
