epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.3321480453014374,0.47511032223701477,0.2214633822441101
0,207,0.26481112837791443,0.3512991964817047,0.16281923651695251,,,
1,415,,,,0.41417619585990906,0.5692765712738037,0.29109078645706177
1,415,0.3465099334716797,0.49038636684417725,0.23282603919506073,,,
2,623,,,,0.42301422357559204,0.605861246585846,0.3149890601634979
2,623,0.4018552303314209,0.5637698769569397,0.2844918966293335,,,
3,831,,,,0.4851841330528259,0.6573456525802612,0.36454811692237854
3,831,0.44737547636032104,0.6129562854766846,0.3279745876789093,,,
4,1039,,,,0.5183605551719666,0.6974678039550781,0.4006064236164093
4,1039,0.4760783910751343,0.658647894859314,0.3614213168621063,,,
5,1247,,,,0.4729725122451782,0.6724255681037903,0.3652641773223877
5,1247,0.4937826097011566,0.6755697131156921,0.37814730405807495,,,
6,1455,,,,0.5299367308616638,0.7112029790878296,0.41354644298553467
6,1455,0.5070618987083435,0.684576690196991,0.3917243182659149,,,
7,1663,,,,0.5253482460975647,0.7031489014625549,0.4090416133403778
7,1663,0.5166721343994141,0.7025442123413086,0.40440475940704346,,,
8,1871,,,,0.5320887565612793,0.7194555997848511,0.4197996258735657
8,1871,0.5201187133789062,0.7104169130325317,0.40949326753616333,,,
9,2079,,,,0.533825159072876,0.7215220928192139,0.42073729634284973
9,2079,0.5221249461174011,0.7075051069259644,0.4104406535625458,,,
10,2287,,,,0.5743050575256348,0.7427529692649841,0.4581090807914734
10,2287,0.5192141532897949,0.6988465189933777,0.4065397381782532,,,
11,2495,,,,0.585292637348175,0.7692534923553467,0.4749089181423187
11,2495,0.5347181558609009,0.719621479511261,0.425009548664093,,,
12,2703,,,,0.5945615172386169,0.7757583856582642,0.48431718349456787
12,2703,0.5432972311973572,0.721278965473175,0.4318448603153229,,,
13,2911,,,,0.6327317953109741,0.8111456632614136,0.5281562209129333
13,2911,0.5675545334815979,0.7440829277038574,0.4576592445373535,,,
14,3119,,,,0.5592877268791199,0.7422438263893127,0.4482336640357971
14,3119,0.5816397666931152,0.757416844367981,0.4714612662792206,,,
15,3327,,,,0.5975281000137329,0.7783200740814209,0.48722052574157715
15,3327,0.5873791575431824,0.7616901993751526,0.4782469868659973,,,
16,3535,,,,0.6439640522003174,0.8251566290855408,0.5436645746231079
16,3535,0.5948314070701599,0.7648993730545044,0.48564788699150085,,,
17,3743,,,,0.6334086060523987,0.8142423033714294,0.5302098393440247
17,3743,0.5998585820198059,0.7714391350746155,0.49151840806007385,,,
18,3951,,,,0.6382805109024048,0.8181948065757751,0.5362868309020996
18,3951,0.6039307117462158,0.7741601467132568,0.49636778235435486,,,
19,4159,,,,0.6387544274330139,0.8194229602813721,0.5369315147399902
19,4159,0.6043345928192139,0.7781786918640137,0.4976099133491516,,,
20,4367,,,,0.5621523261070251,0.7423819303512573,0.45168763399124146
20,4367,0.6011509895324707,0.7658658027648926,0.49182620644569397,,,
21,4575,,,,0.6647035479545593,0.8470375537872314,0.5727001428604126
21,4575,0.6052671670913696,0.7740606069564819,0.4969005882740021,,,
22,4783,,,,0.664523720741272,0.8454796075820923,0.5717931389808655
22,4783,0.6031237244606018,0.76970374584198,0.49422696232795715,,,
23,4991,,,,0.6769227981567383,0.8576995134353638,0.5882617831230164
23,4991,0.6174501180648804,0.7855475544929504,0.5110849738121033,,,
24,5199,,,,0.6420819759368896,0.8201737999916077,0.5409518480300903
24,5199,0.6181355118751526,0.7843225002288818,0.5121129155158997,,,
25,5407,,,,0.6819653511047363,0.8640792369842529,0.5967699885368347
25,5407,0.6325387358665466,0.8031629920005798,0.5299370884895325,,,
26,5615,,,,0.6819327473640442,0.8631560206413269,0.5954810380935669
26,5615,0.6336768269538879,0.8018498420715332,0.5308798551559448,,,
27,5823,,,,0.6868742108345032,0.8678834438323975,0.6013667583465576
27,5823,0.6391944289207458,0.8080068230628967,0.5376944541931152,,,
28,6031,,,,0.6837587952613831,0.864790678024292,0.5972864031791687
28,6031,0.6410781145095825,0.809583306312561,0.5399641394615173,,,
29,6239,,,,0.6839497089385986,0.8647988438606262,0.5982370972633362
29,6239,0.6362603902816772,0.8059057593345642,0.5338431000709534,,,
