epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.27382799983024597,0.41824787855148315,0.17829115688800812
0,207,0.2349240481853485,0.3362783193588257,0.14293882250785828,,,
1,415,,,,0.32366251945495605,0.49708861112594604,0.21973241865634918
1,415,0.29156386852264404,0.43819695711135864,0.18967457115650177,,,
2,623,,,,0.3247819244861603,0.5228376388549805,0.22803166508674622
2,623,0.3331325948238373,0.49889153242111206,0.22679036855697632,,,
3,831,,,,0.3700547218322754,0.561248242855072,0.26066747307777405
3,831,0.3630209267139435,0.5300763845443726,0.25240811705589294,,,
4,1039,,,,0.39046984910964966,0.5808761715888977,0.2779443860054016
4,1039,0.3867647647857666,0.5702632069587708,0.27687063813209534,,,
5,1247,,,,0.374012291431427,0.5771337151527405,0.2690400183200836
5,1247,0.4095476567745209,0.5856564044952393,0.29420238733291626,,,
6,1455,,,,0.4304499924182892,0.6128129959106445,0.3112220764160156
6,1455,0.42082592844963074,0.5925108194351196,0.30306005477905273,,,
7,1663,,,,0.44602730870246887,0.6224959492683411,0.3266024887561798
7,1663,0.43370646238327026,0.614978015422821,0.31767892837524414,,,
8,1871,,,,0.41094332933425903,0.6033986210823059,0.2965245842933655
8,1871,0.4372236728668213,0.6199973225593567,0.3207041621208191,,,
9,2079,,,,0.42141953110694885,0.6109789609909058,0.30633318424224854
9,2079,0.43548086285591125,0.6181098222732544,0.31949204206466675,,,
10,2287,,,,0.4789317846298218,0.6421236991882324,0.35997113585472107
10,2287,0.44807058572769165,0.6222712397575378,0.329883873462677,,,
11,2495,,,,0.48651060461997986,0.6735852360725403,0.3741101026535034
11,2495,0.47569799423217773,0.6534140706062317,0.35919296741485596,,,
12,2703,,,,0.5080463290214539,0.6936787962913513,0.395765095949173
12,2703,0.48582202196121216,0.6609052419662476,0.36858630180358887,,,
13,2911,,,,0.6829253435134888,0.7252967357635498,0.42432352900505066
13,2911,0.5065355896949768,0.6853587627410889,0.39132288098335266,,,
14,3119,,,,0.5089234113693237,0.7084664702415466,0.40025466680526733
14,3119,0.5275889039039612,0.7063925862312317,0.4124072790145874,,,
15,3327,,,,0.695870578289032,0.7425764203071594,0.4422631859779358
15,3327,0.5311176776885986,0.712304949760437,0.4182644486427307,,,
16,3535,,,,0.7379691004753113,0.7731715440750122,0.47810277342796326
16,3535,0.5406078696250916,0.7180489301681519,0.42757007479667664,,,
17,3743,,,,0.5842487215995789,0.7694588899612427,0.47341975569725037
17,3743,0.5478349328041077,0.727712869644165,0.4359123706817627,,,
18,3951,,,,0.5690143704414368,0.7576289176940918,0.4589116871356964
18,3951,0.5532808899879456,0.7317996621131897,0.44208449125289917,,,
19,4159,,,,0.5791895985603333,0.7659127116203308,0.46852439641952515
19,4159,0.5471379160881042,0.7333733439445496,0.4377839267253876,,,
20,4367,,,,0.6924676895141602,0.748828113079071,0.4451078772544861
20,4367,0.5559248328208923,0.7304364442825317,0.4450385272502899,,,
21,4575,,,,0.6299011707305908,0.8135392665863037,0.5291658639907837
21,4575,0.5658747553825378,0.7440968155860901,0.4558722674846649,,,
22,4783,,,,0.6110576391220093,0.7977467179298401,0.5079852342605591
22,4783,0.5673848390579224,0.7425494194030762,0.45738857984542847,,,
23,4991,,,,0.6338920593261719,0.8182040452957153,0.5328241586685181
23,4991,0.5803178548812866,0.7562953233718872,0.4712572693824768,,,
24,5199,,,,0.6178152561187744,0.8025096654891968,0.5128872990608215
24,5199,0.582772970199585,0.7558854818344116,0.4740729331970215,,,
25,5407,,,,0.6387923359870911,0.823356568813324,0.5400065183639526
25,5407,0.5962648987770081,0.7727651000022888,0.48937472701072693,,,
26,5615,,,,0.6512690782546997,0.835381031036377,0.555141031742096
26,5615,0.5986858606338501,0.7714129686355591,0.4909853935241699,,,
27,5823,,,,0.6561615467071533,0.8402644991874695,0.5621506571769714
27,5823,0.6054593920707703,0.7776815295219421,0.49857383966445923,,,
28,6031,,,,0.6504735946655273,0.8346384167671204,0.5539113879203796
28,6031,0.6060821413993835,0.7780669331550598,0.4996645748615265,,,
29,6239,,,,0.6498589515686035,0.8342361450195312,0.5531666874885559
29,6239,0.6014883518218994,0.7744357585906982,0.4935254156589508,,,
