================ Training Loss (Mon Mar 10 16:41:22 2025) ================
(epoch: 20, iters: 150, time: 0.080, data: 0.002) D_A: 0.497 G_A: 1.104 cycle_A: 1.667 idt_A: 0.466 D_B: 0.191 G_B: 0.380 cycle_B: 0.959 idt_B: 0.793 
(epoch: 21, iters: 100, time: 0.081, data: 0.250) D_A: 0.401 G_A: 0.168 cycle_A: 2.041 idt_A: 0.493 D_B: 0.202 G_B: 0.358 cycle_B: 1.041 idt_B: 0.933 
(epoch: 22, iters: 50, time: 0.493, data: 0.001) D_A: 0.118 G_A: 0.156 cycle_A: 1.031 idt_A: 2.571 D_B: 0.280 G_B: 0.477 cycle_B: 5.104 idt_B: 0.465 
(epoch: 22, iters: 150, time: 0.082, data: 0.002) D_A: 0.125 G_A: 0.275 cycle_A: 0.869 idt_A: 0.616 D_B: 0.129 G_B: 0.199 cycle_B: 1.308 idt_B: 0.457 
(epoch: 23, iters: 100, time: 0.080, data: 0.232) D_A: 0.238 G_A: 0.306 cycle_A: 1.274 idt_A: 0.421 D_B: 0.173 G_B: 0.452 cycle_B: 0.924 idt_B: 0.512 
(epoch: 24, iters: 50, time: 0.080, data: 0.002) D_A: 0.309 G_A: 0.252 cycle_A: 1.293 idt_A: 0.356 D_B: 0.282 G_B: 0.285 cycle_B: 1.058 idt_B: 0.546 
(epoch: 24, iters: 150, time: 0.479, data: 0.002) D_A: 0.226 G_A: 0.545 cycle_A: 0.784 idt_A: 0.401 D_B: 0.237 G_B: 0.033 cycle_B: 0.872 idt_B: 0.441 
(epoch: 25, iters: 100, time: 0.079, data: 0.234) D_A: 0.161 G_A: 0.204 cycle_A: 0.796 idt_A: 0.527 D_B: 0.290 G_B: 0.288 cycle_B: 1.172 idt_B: 0.301 
(epoch: 26, iters: 50, time: 0.082, data: 0.002) D_A: 0.180 G_A: 0.244 cycle_A: 0.761 idt_A: 1.326 D_B: 0.316 G_B: 0.413 cycle_B: 2.660 idt_B: 0.337 
(epoch: 26, iters: 150, time: 0.075, data: 0.002) D_A: 0.258 G_A: 0.253 cycle_A: 0.862 idt_A: 0.486 D_B: 0.238 G_B: 0.153 cycle_B: 1.158 idt_B: 0.382 
(epoch: 27, iters: 100, time: 0.478, data: 0.240) D_A: 0.168 G_A: 0.216 cycle_A: 1.689 idt_A: 0.752 D_B: 0.191 G_B: 0.292 cycle_B: 1.721 idt_B: 0.816 
(epoch: 28, iters: 50, time: 0.080, data: 0.002) D_A: 0.311 G_A: 0.127 cycle_A: 1.901 idt_A: 0.575 D_B: 0.209 G_B: 0.120 cycle_B: 1.327 idt_B: 0.964 
(epoch: 28, iters: 150, time: 0.081, data: 0.002) D_A: 0.314 G_A: 0.111 cycle_A: 0.633 idt_A: 0.876 D_B: 0.256 G_B: 0.286 cycle_B: 1.908 idt_B: 0.297 
(epoch: 29, iters: 100, time: 0.080, data: 0.242) D_A: 0.249 G_A: 0.492 cycle_A: 0.742 idt_A: 0.516 D_B: 0.198 G_B: 0.214 cycle_B: 1.175 idt_B: 0.340 
(epoch: 30, iters: 50, time: 0.649, data: 0.002) D_A: 0.103 G_A: 0.273 cycle_A: 1.527 idt_A: 0.406 D_B: 0.231 G_B: 0.204 cycle_B: 0.958 idt_B: 0.715 
