epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.32985877990722656,0.4690438508987427,0.2180512696504593
0,207,0.28131920099258423,0.37352240085601807,0.17591597139835358,,,
1,415,,,,0.38176843523979187,0.531541645526886,0.2611522674560547
1,415,0.3398883640766144,0.47644156217575073,0.22796839475631714,,,
2,623,,,,0.4048285186290741,0.5575774312019348,0.2823541760444641
2,623,0.36918118596076965,0.5205051302909851,0.25499698519706726,,,
3,831,,,,0.4232706129550934,0.5821829438209534,0.2989138960838318
3,831,0.3991425633430481,0.5474775433540344,0.2796648144721985,,,
4,1039,,,,0.4668009281158447,0.6269035935401917,0.3372444212436676
4,1039,0.4247370958328247,0.5841936469078064,0.30454182624816895,,,
5,1247,,,,0.40592247247695923,0.5970937013626099,0.2909584641456604
5,1247,0.4551289975643158,0.6119890809059143,0.33038240671157837,,,
6,1455,,,,0.5222287178039551,0.6824698448181152,0.39307481050491333
6,1455,0.47228074073791504,0.6252942681312561,0.3456213176250458,,,
7,1663,,,,0.5247602462768555,0.6884140372276306,0.3966004550457001
7,1663,0.4870951771736145,0.6477504372596741,0.3622254431247711,,,
8,1871,,,,0.48101887106895447,0.6549006700515747,0.35452625155448914
8,1871,0.4923941493034363,0.6588267683982849,0.36867788434028625,,,
9,2079,,,,0.49327197670936584,0.6669771671295166,0.36739978194236755
9,2079,0.49333301186561584,0.6560865640640259,0.36901912093162537,,,
10,2287,,,,0.5750532746315002,0.7344064116477966,0.4516376554965973
10,2287,0.4845660924911499,0.6420207023620605,0.35994434356689453,,,
