epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,103,,,,0.4303561747074127,0.5934528112411499,0.30669623613357544
0,103,0.3388921916484833,0.4539373815059662,0.22193719446659088,,,
1,207,,,,0.548275887966156,0.7244175672531128,0.4288155436515808
1,207,0.48199230432510376,0.6368356347084045,0.35699018836021423,,,
2,311,,,,0.5985986590385437,0.7740607261657715,0.48509275913238525
2,311,0.546272873878479,0.7133001089096069,0.4280462861061096,,,
3,415,,,,0.6211485862731934,0.7986448407173157,0.5136204957962036
3,415,0.574585497379303,0.7403334379196167,0.46043846011161804,,,
4,519,,,,0.6014106273651123,0.7877016067504883,0.48927175998687744
4,519,0.5917492508888245,0.7569702863693237,0.4796764552593231,,,
5,623,,,,0.6400670409202576,0.8135330677032471,0.5335590839385986
5,623,0.5997538566589355,0.7648054957389832,0.4876765310764313,,,
6,727,,,,0.6594146490097046,0.8341930508613586,0.5591086149215698
6,727,0.609283447265625,0.7696436047554016,0.49761706590652466,,,
7,831,,,,0.6789869070053101,0.848955512046814,0.5819544792175293
7,831,0.6240044832229614,0.7829687595367432,0.513583779335022,,,
8,935,,,,0.6574743390083313,0.8203408122062683,0.5503673553466797
8,935,0.6314730048179626,0.7851887941360474,0.5204561352729797,,,
9,1039,,,,0.6637952327728271,0.8270775675773621,0.558142364025116
9,1039,0.6399486660957336,0.7932114005088806,0.5284539461135864,,,
10,1143,,,,0.6906028389930725,0.8502322435379028,0.5899711847305298
10,1143,0.6424362659454346,0.7962199449539185,0.5303117036819458,,,
11,1247,,,,0.6959626078605652,0.8545918464660645,0.5963477492332458
11,1247,0.649964451789856,0.7944229245185852,0.5357485413551331,,,
12,1351,,,,0.695689857006073,0.8544055819511414,0.5960973501205444
12,1351,0.6485150456428528,0.7938748598098755,0.5342850685119629,,,
13,1455,,,,0.6968114972114563,0.8555514812469482,0.5973200798034668
13,1455,0.6516178846359253,0.795045018196106,0.537142276763916,,,
14,1559,,,,0.6993098855018616,0.8581047058105469,0.6007336974143982
14,1559,0.6577210426330566,0.8015089631080627,0.5444234609603882,,,
15,1663,,,,0.6735925078392029,0.8122521638870239,0.5545394420623779
15,1663,0.652411699295044,0.7889222502708435,0.5335155725479126,,,
16,1767,,,,0.7132219672203064,0.8489152789115906,0.6052899360656738
16,1767,0.6675647497177124,0.7891737222671509,0.5438386797904968,,,
17,1871,,,,0.7734155058860779,0.8759714961051941,0.6630532145500183
17,1871,0.6933490633964539,0.8013783693313599,0.5662187933921814,,,
18,1975,,,,0.7868177890777588,0.8758787512779236,0.6736320853233337
18,1975,0.7196749448776245,0.8071984052658081,0.5886159539222717,,,
19,2079,,,,0.7830327749252319,0.8551214337348938,0.6592370867729187
19,2079,0.7421794533729553,0.8168728351593018,0.6106254458427429,,,
20,2183,,,,0.7947869300842285,0.876053512096405,0.6807057857513428
20,2183,0.756695032119751,0.8252795934677124,0.6265239119529724,,,
21,2287,,,,0.8152105212211609,0.8799678683280945,0.7011544704437256
21,2287,0.7595840692520142,0.8285637497901917,0.6306873559951782,,,
22,2391,,,,0.8244351744651794,0.8889576196670532,0.7157799005508423
22,2391,0.7627901434898376,0.8261479139328003,0.6333579421043396,,,
23,2495,,,,0.8176342844963074,0.8885586857795715,0.709094762802124
23,2495,0.7747617363929749,0.8342419862747192,0.6471845507621765,,,
24,2599,,,,0.8253830075263977,0.8807516098022461,0.7127230167388916
24,2599,0.7683922648429871,0.8275113701820374,0.6386576294898987,,,
25,2703,,,,0.8291907906532288,0.8869707584381104,0.7201597690582275
25,2703,0.7777449488639832,0.8352078199386597,0.6504342555999756,,,
