epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.2683672308921814,0.4088306725025177,0.17327415943145752
0,207,0.24120080471038818,0.33318614959716797,0.14603662490844727,,,
1,415,,,,0.3289909064769745,0.48321714997291565,0.22122621536254883
1,415,0.2868189811706543,0.4277479648590088,0.18491868674755096,,,
2,623,,,,0.35728031396865845,0.5294713377952576,0.2555243670940399
2,623,0.3389359414577484,0.4929312765598297,0.22875024378299713,,,
3,831,,,,0.43285223841667175,0.6082420349121094,0.3136630356311798
3,831,0.39075154066085815,0.5517000555992126,0.27496209740638733,,,
4,1039,,,,0.4774741530418396,0.6588333249092102,0.3635019361972809
4,1039,0.44119924306869507,0.6227625608444214,0.32712557911872864,,,
5,1247,,,,0.44752126932144165,0.6504240036010742,0.3458787202835083
5,1247,0.47100117802619934,0.6525781154632568,0.355305552482605,,,
6,1455,,,,0.505005419254303,0.6901785135269165,0.3920702636241913
6,1455,0.48739728331565857,0.6650558114051819,0.3720017969608307,,,
7,1663,,,,0.5182478427886963,0.7001535892486572,0.4050656259059906
7,1663,0.4971681833267212,0.684036135673523,0.38451632857322693,,,
8,1871,,,,0.49934646487236023,0.6937872171401978,0.3936780095100403
8,1871,0.5021694898605347,0.6935077905654907,0.3910955488681793,,,
9,2079,,,,0.5017223954200745,0.6929844617843628,0.39257755875587463
9,2079,0.5011621713638306,0.6886777281761169,0.3893046975135803,,,
10,2287,,,,0.5403118133544922,0.7107956409454346,0.431115984916687
10,2287,0.4992731213569641,0.6790775656700134,0.38594093918800354,,,
11,2495,,,,0.5442131161689758,0.7341264486312866,0.4395894706249237
11,2495,0.5199605226516724,0.7065495252609253,0.410300076007843,,,
12,2703,,,,0.5804921984672546,0.762374997138977,0.4715743660926819
12,2703,0.5277290344238281,0.7075343132019043,0.41666191816329956,,,
13,2911,,,,0.6048049330711365,0.7821400761604309,0.4961172640323639
13,2911,0.5516586899757385,0.7297956943511963,0.44301915168762207,,,
14,3119,,,,0.5260007977485657,0.721360981464386,0.42295151948928833
14,3119,0.5675213932991028,0.7453399300575256,0.45787176489830017,,,
15,3327,,,,0.7102653980255127,0.7486956715583801,0.45440495014190674
15,3327,0.5722920298576355,0.7485237717628479,0.4630662798881531,,,
16,3535,,,,0.6256505846977234,0.8038359880447388,0.5209550857543945
16,3535,0.581676185131073,0.7534373998641968,0.4726327657699585,,,
17,3743,,,,0.6202636361122131,0.799555242061615,0.5143054127693176
17,3743,0.5898680090904236,0.7630523443222046,0.48153433203697205,,,
18,3951,,,,0.6219462752342224,0.8012048006057739,0.5174367427825928
18,3951,0.595223069190979,0.7674751281738281,0.4881759583950043,,,
19,4159,,,,0.6261499524116516,0.8060779571533203,0.5223853588104248
19,4159,0.5931717753410339,0.7694010138511658,0.4865707457065582,,,
20,4367,,,,0.7052944302558899,0.7450892329216003,0.4540087878704071
20,4367,0.592361330986023,0.7590717673301697,0.48342815041542053,,,
21,4575,,,,0.657280445098877,0.8379133343696594,0.5623081922531128
21,4575,0.5985174179077148,0.7688356637954712,0.4903586208820343,,,
22,4783,,,,0.648423433303833,0.8286934494972229,0.5513442158699036
22,4783,0.5978268384933472,0.7656814455986023,0.4893280863761902,,,
23,4991,,,,0.6641668081283569,0.8441418409347534,0.5714743733406067
23,4991,0.6096943020820618,0.7795721292495728,0.5035018920898438,,,
24,5199,,,,0.5795869827270508,0.7567752003669739,0.46962520480155945
24,5199,0.6120855212211609,0.7796118855476379,0.5060669183731079,,,
25,5407,,,,0.6645453572273254,0.8458578586578369,0.5737698674201965
25,5407,0.6263588666915894,0.7985630035400391,0.5238158106803894,,,
26,5615,,,,0.6776787042617798,0.859158992767334,0.5907444953918457
26,5615,0.6300352215766907,0.799945592880249,0.527818500995636,,,
27,5823,,,,0.6771119236946106,0.8604810237884521,0.5900166034698486
27,5823,0.6346957087516785,0.8051129579544067,0.5334638357162476,,,
28,6031,,,,0.6766998767852783,0.8580387830734253,0.5891657471656799
28,6031,0.6359826922416687,0.8065808415412903,0.5355287790298462,,,
29,6239,,,,0.6759738326072693,0.8573006987571716,0.5882828235626221
29,6239,0.6311365962028503,0.8025795221328735,0.5290938019752502,,,
